['A1', 'SustainableEnergy']
['A814', 'Dishwasher']
['A815', 'EnergyInputLabeling']
['A816', 'BuildingPerformance']
['A817', 'Energy-EfficientLandscaping']
['A818', 'WindowInsulationFilm']
['A819', 'Phase-OutOfIncandescentLightBulbs']
['A820', 'EmpireStateBuilding']
['A821', 'OneWorldTradeCenter']
['A822', 'EmbodiedEnergy']
['A823', 'Furnace']
['A824', 'SmartMeter']
['A825', 'WirelessSensorNetwork']
['A826', 'GreenBuildingXml']
['A827', 'BuildingInformationModeling']
['A828', 'BuildingEnergySimulation']
['A829', 'U.S.GreenBuildingCouncil']
['A830', 'Honeywell']
['A831', 'Washington,D.C.']
['A832', 'DeepEnergyRetrofit']
['A833', 'GreenRetrofit']
['A834', 'JohnsonControls']
['A835', 'ClintonFoundation']
['A836', 'Jll(Company)']
['A837', 'AirConditioning']
['A838', 'IndianapolisCity-CountyBuilding']
['A839', 'Cost-EffectivenessAnalysis']
['A840', 'EnergyEfficiencyInEurope(Study)']
['A841', 'GovernmentOfAustralia']
['A842', 'DepartmentOfIndustryAndScience']
['A843', 'CouncilOfAustralianGovernments']
['A844', 'Commonwealth']
['A845', 'GermanNationalActionPlanOnEnergyEfficiency']
['A846', 'EnergyPolicy']
['A847', 'Germany']
['A848', 'FinancialCrisisOf2007–2008']
['A849', 'EnergiewendeInGermany']
['A850', 'GreenPaper']
['A851', 'SigmarGabriel']
['A852', 'Power-To-X']
['A853', 'EnergyModelingForum']
['A854', 'Electricity']
['A855', 'ElectricMotor']
['A856', 'Adjustable-SpeedDrive']
['A857', 'Superconductivity']
['A858', 'VoltageOptimisation']
['A859', 'Pump']
['A860', 'ProcessControl']
['A861', 'EnergyEfficiencyInTransportation']
['A862', 'FuelEconomyInAutomobiles']
['A863', 'ToyotaPrius']
['A864', 'NewYorkCityPoliceDepartment']
['A865', 'Aerodynamics']
['A866', 'FuelEfficiency']
['A867', 'CompositeMaterial']
['A868', 'Turbocharger']
['A869', 'Mercedes-BenzBionic']
['A870', 'RegenerativeBrake']
['A871', 'TeslaModelS']
['A872', 'StreetLight']
['A873', 'FuelEconomyInAircraft']
['A874', 'EnvironmentalImpactOfAviation']
['A875', 'Biodiesel']
['A876', 'CommonEthanolFuelMixtures']
['A877', 'CompressedNaturalGas']
['A878', 'Piracicaba']
['A879', 'ChemicalSubstance']
['A880', 'AlcoholFuel']
['A881', 'N-Butanol']
['A882', 'VegetableOilFuel']
['A883', 'BehaviorChange(PublicHealth)']
['A884', 'Intermediary']
['A885', 'ListOfCountriesByCarbonDioxideEmissions']
['A886', 'ReboundEffect(Conservation)']
['A887', '80Plus']
['A888', 'IeaSolarHeating&CoolingImplementingAgreementTask13']
['A889', 'InternationalElectrotechnicalCommission']
['A890', 'InternationalPartnershipForEnergyEfficiencyCooperation']
['A891', 'WorldSustainableEnergyDays']
['A892', 'NationalDevelopmentAndReformCommission']
['A893', 'DepartmentOfClimateChangeAndEnergyEfficiency']
['A894', 'DepartmentOfTheEnvironment,Water,HeritageAndTheArts']
['A895', 'SustainableHouseDay']
['A896', 'BuildingEnergyRating']
['A897', 'EuropeanEcodesignDirective']
['A898', 'Orgalime']
['A899', 'Marorka']
['A900', 'Africa']
['A901', '88888LightsOut']
['A902', 'EnergyEfficiencyServicesLimited']
['A903', 'CarbonTrust']
['A904', 'EnergySavingTrust']
['A905', 'NationalEnergyAction']
['A906', 'NationalEnergyFoundation']
['A907', 'CreativeEnergyHomes']
['A908', 'AmericanCouncilForAnEnergy-EfficientEconomy']
['A909', 'BuildingCodesAssistanceProject']
['A910', 'BuildingEnergyCodesProgram']
['A911', 'ConsortiumForEnergyEfficiency']
['A912', 'EnergyStar']
['A913', 'IndustrialAssessmentCenter']
['A914', 'DataCenterInfrastructureEfficiency']
['A915', 'ElectricalEnergyEfficiencyOnUnitedStatesFarms']
['A916', 'EnergyConservationMeasure']
['A917', 'EnergyEfficiencyImplementation']
['A918', 'PerformancePerWatt']
['A919', 'LeeSchipper']
['A920', 'ListOfLeastCarbonEfficientPowerStations']
['A921', 'PassengerMilesPerGallon']
['A922', 'StandbyPower']
['A923', 'TheGreenDeal']
['A924', 'WorldEnergyEngineeringCongress']
['A925', 'EnergyReductionAssets']
['A926', 'JohnA.Laitner']
['A927', 'MarkDiesendorf']
['A928', 'GreenhouseSolutionsWithSustainableEnergy']
['A929', 'IntegratedAuthorityFile']
['A930', 'GreenBuilding(Mit)']
